Publication Year,Comic-book Title,# of Issues,Price,Publisher,Est. Units
2009,Amazing Spider-Man,583,$3.99 ,Marvel,"530,500"
2009,Blackest Night,1,$3.99 ,DC,"205,500"
2009,Captain America Reborn,1,$3.99 ,Marvel,"199,900"
2009,Batman and Robin,1,$2.99 ,DC,"190,300"
2009,Blackest Night,2,$3.99 ,DC,"161,400"
2009,Blackest Night,5,$3.99 ,DC,"148,700"
2009,Blackest Night,3,$3.99 ,DC,"146,200"
2009,Blackest Night,4,$3.99 ,DC,"140,200"
2009,Captain America,600,$4.99 ,Marvel,"136,800"
2009,Dark Avengers,1,$3.99 ,Marvel,"136,500"
2009,Batman and Robin,2,$2.99 ,DC,"131,900"
2009,Batman,686,$3.99 ,DC,"130,700"
2009,Captain America Reborn,2,$3.99 ,Marvel,"128,000"
2009,Final Crisis,6,$3.99 ,DC,"127,400"
2009,Amazing Spider-Man,600,$4.99 ,Marvel,"125,800"
2009,Flash Rebirth,1,$3.99 ,DC,"118,500"
2009,Green Lantern,43,$2.99 ,DC,"118,200"
2009,Batman and Robin,3,$2.99 ,DC,"115,400"
2009,Green Lantern,44,$2.99 ,DC,"112,800"
2009,New Avengers,50,$4.99 ,Marvel,"110,100"
2009,Captain America Reborn,3,$3.99 ,Marvel,"109,500"
2009,Final Crisis,7,$3.99 ,DC,"109,400"
2009,Batman and Robin,4,$2.99 ,DC,"109,000"
2009,Green Lantern,45,$2.99 ,DC,"107,800"
2009,Green Lantern,46,$2.99 ,DC,"106,000"
2009,Batman Battle for the Cowl,1,$3.99 ,DC,"105,500"
2009,Dark Avengers,2,$3.99 ,Marvel,"105,300"
2009,Dark Avengers,3,$3.99 ,Marvel,"103,700"
2009,Dark Avengers Uncanny X-Men Utopia,1,$3.99 ,Marvel,"103,500"
2009,Batman and Robin,5,$2.99 ,DC,"102,900"
2009,Green Lantern,47,$2.99 ,DC,"102,900"
2009,Dark Avengers,4,$3.99 ,Marvel,"102,200"
2009,Blackest Night Batman,1,$2.99 ,DC,"102,000"
2009,Ultimate Comics Avengers,1,$3.99 ,Marvel,"101,500"
2009,Green Lantern,48,$2.99 ,DC,"101,500"
2009,Detective Comics,853,$3.99 ,DC,"100,800"
2009,Blackest Night,6,$3.99 ,DC,"100,700"
2009,Thor,600,$4.99 ,Marvel,"100,300"
2009,Batman,687,$3.99 ,DC,"100,100"
2009,Wolverine Weapon X,1,$3.99 ,Marvel,"99,600"
2009,Green Lantern,49,$2.99 ,DC,"97,300"
2009,Dark Avengers,7,$3.99 ,Marvel,"97,300"
2009,Captain America Reborn,4,$3.99 ,Marvel,"96,900"
2009,Dark Avengers,5,$3.99 ,Marvel,"96,400"
2009,Batman and Robin,6,$2.99 ,DC,"96,200"
2009,Incredible Hulk,600,$4.99 ,Marvel,"95,900"
2009,New Avengers,49,$3.99 ,Marvel,"95,800"
2009,Dark Avengers,8,$3.99 ,Marvel,"95,600"
2009,Wolverine Giant-Size Old Man Logan,1,$4.99 ,Marvel,"95,600"
2009,New Avengers,53,$3.99 ,Marvel,"95,400"
2009,Dark Avengers,6,$3.99 ,Marvel,"94,900"
2009,New Avengers,54,$3.99 ,Marvel,"94,300"
2009,Ultimate Comics Spider-Man,1,$3.99 ,Marvel,"94,100"
2009,New Avengers,51,$3.99 ,Marvel,"93,900"
2009,Flash Rebirth,2,$2.99 ,DC,"93,500"
2009,Uncanny X-Men,514,$3.99 ,Marvel,"93,500"
2009,Wolverine,71,$2.99 ,Marvel,"93,400"
2009,Blackest Night Tales of the Corps,1,$3.99 ,DC,"92,700"
2009,Blackest Night Batman,2,$2.99 ,DC,"92,700"
2009,Justice League of America,39,$3.99 ,DC,"92,400"
2009,Wolverine,72,$2.99 ,Marvel,"92,200"
2009,New Avengers,52,$3.99 ,Marvel,"92,100"
2009,Batman Battle for the Cowl,3,$3.99 ,DC,"91,900"
2009,Blackest Night Superman,1,$2.99 ,DC,"91,800"
2009,Captain America Reborn,5,$3.99 ,Marvel,"91,800"
2009,Batman Battle for the Cowl,2,$3.99 ,DC,"91,500"
2009,New Avengers,56,$3.99 ,Marvel,"90,700"
2009,Marvels Project,1,$3.99 ,Marvel,"90,200"
2009,Captain America,601,$3.99 ,Marvel,"90,000"
2009,Ultimatum,5,$3.99 ,Marvel,"89,300"
2009,Uncanny X-Men,513,$3.99 ,Marvel,"88,700"
2009,Ultimatum,4,$3.99 ,Marvel,"88,600"
2009,Blackest Night Batman,3,$2.99 ,DC,"88,100"
2009,Green Lantern,42,$2.99 ,DC,"87,800"
2009,Flash Rebirth,3,$2.99 ,DC,"87,800"
2009,Hulk,11,$3.99 ,Marvel,"87,600"
2009,Green Lantern,40,$2.99 ,DC,"87,400"
2009,Green Lantern,39,$2.99 ,DC,"87,400"
2009,Blackest Night Tales of the Corps,2,$3.99 ,DC,"87,100"
2009,Green Lantern Corps,39,$2.99 ,DC,"86,900"
2009,Ultimatum,3,$3.99 ,Marvel,"86,500"
2009,New Avengers,57,$3.99 ,Marvel,"86,000"
2009,Wolverine,73,$2.99 ,Marvel,"85,700"
2009,Adventure Comics,4,$3.99 ,DC,"85,400"
2009,New Avengers,55,$3.99 ,Marvel,"85,400"
2009,Green Lantern,41,$2.99 ,DC,"85,200"
2009,Batman,688,$2.99 ,DC,"84,900"
2009,Green Lantern Corps,40,$2.99 ,DC,"84,200"
2009,Thor,601,$3.99 ,Marvel,"83,900"
2009,Green Lantern Corps,38,$2.99 ,DC,"83,400"
2009,Justice Society of America,26,$2.99 ,DC,"83,300"
2009,Dark Wolverine,75,$3.99 ,Marvel,"82,900"
2009,Blackest Night Superman,2,$2.99 ,DC,"82,500"
2009,Green Lantern Corps,41,$2.99 ,DC,"82,000"
2009,Blackest Night Tales of the Corps,3,$3.99 ,DC,"81,800"
2009,Dark Avengers,9,$3.99 ,Marvel,"81,400"
2009,Blackest Night Superman,3,$2.99 ,DC,"81,300"
2009,Green Lantern Corps,42,$2.99 ,DC,"81,000"
2009,Detective Comics,854,$3.99 ,DC,"80,900"
2009,Captain America Reborn Who Will Wield the Shield,0,$3.99 ,Marvel,"80,800"
2009,Green Lantern,38,$2.99 ,DC,"80,400"
2009,Blackest Night the Flash,1,$2.99 ,DC,"80,300"
2009,Hulk,10,$3.99 ,Marvel,"79,900"
2009,Batman,689,$2.99 ,DC,"79,300"
2009,Uncanny X-Men,510,$2.99 ,Marvel,"79,200"
2009,Hulk,14,$3.99 ,Marvel,"79,200"
2009,Flash Rebirth,4,$2.99 ,DC,"78,900"
2009,Uncanny X-Men,508,$2.99 ,Marvel,"78,200"
2009,Dark Avengers Uncanny X-Men Exodus,0,$3.99 ,Marvel,"77,900"
2009,Green Lantern Corps,43,$2.99 ,DC,"77,800"
2009,Batman,690,$2.99 ,DC,"77,500"
2009,Amazing Spider-Man,601,$2.99 ,Marvel,"77,400"
2009,New Avengers,58,$3.99 ,Marvel,"77,300"
2009,Uncanny X-Men,512,$3.99 ,Marvel,"77,200"
2009,Mighty Avengers,21,$3.99 ,Marvel,"76,800"
2009,Daredevil,500,$4.99 ,Marvel,"76,700"
2009,Justice League Cry for Justice,1,$3.99 ,DC,"76,700"
2009,Dark Avengers,10,$3.99 ,Marvel,"75,900"
2009,Green Lantern,37,$2.99 ,DC,"75,900"
2009,Dark Wolverine,76,$2.99 ,Marvel,"74,900"
2009,Hulk,12,$3.99 ,Marvel,"74,900"
2009,New Avengers,59,$3.99 ,Marvel,"74,900"
2009,X-Men Legacy,223,$2.99 ,Marvel,"74,700"
2009,Batman,685,$2.99 ,DC,"74,500"
2009,Flash Rebirth,5,$2.99 ,DC,"74,400"
2009,Dark X-Men Beginning,1,$3.99 ,Marvel,"74,300"
2009,Uncanny X-Men,515,$2.99 ,Marvel,"74,200"
2009,Mighty Avengers,22,$2.99 ,Marvel,"74,200"
2009,Uncanny X-Men,511,$2.99 ,Marvel,"74,200"
2009,Uncanny X-Men,516,$2.99 ,Marvel,"74,100"
2009,Captain America,46,$2.99 ,Marvel,"74,000"
2009,Amazing Spider-Man,602,$2.99 ,Marvel,"73,900"
2009,Amazing Spider-Man,595,$2.99 ,Marvel,"73,900"
2009,Ultimate Wolverine vs. Hulk,3,$2.99 ,Marvel,"73,800"
2009,Uncanny X-Men,507,$2.99 ,Marvel,"73,400"
2009,Astonishing X-Men,28,$2.99 ,Marvel,"73,300"
2009,Blackest Night Titans,1,$2.99 ,DC,"73,100"
2009,Captain America,50,$3.99 ,Marvel,"73,000"
2009,Dark Avengers,11,$3.99 ,Marvel,"72,800"
2009,New Avengers,60,$3.99 ,Marvel,"72,800"
2009,Red Robin,1,$2.99 ,DC,"72,800"
2009,Amazing Spider-Man,599,$2.99 ,Marvel,"72,500"
2009,Mighty Avengers,23,$2.99 ,Marvel,"72,300"
2009,Uncanny X-Men,506,$2.99 ,Marvel,"72,200"
2009,Amazing Spider-Man,608,$2.99 ,Marvel,"72,100"
2009,Batman,691,$2.99 ,DC,"71,800"
2009,Hulk,13,$3.99 ,Marvel,"71,600"
2009,Ultimate Comics Avengers,2,$3.99 ,Marvel,"71,500"
2009,Thor,602,$3.99 ,Marvel,"71,400"
2009,Amazing Spider-Man,603,$2.99 ,Marvel,"71,400"
2009,Batman,692,$2.99 ,DC,"71,200"
2009,Buffy the Vampire Slayer,21,$2.99 ,Dark Horse,"71,200"
2009,Blackest Night Wonder Woman,1,$2.99 ,DC,"70,800"
2009,Amazing Spider-Man,612,$3.99 ,Marvel,"70,700"
2009,Amazing Spider-Man,592,$2.99 ,Marvel,"70,500"
2009,Justice League of America,29,$2.99 ,DC,"70,400"
2009,Amazing Spider-Man,606,$2.99 ,Marvel,"70,300"
2009,Uncanny X-Men,509,$2.99 ,Marvel,"70,300"
2009,Uncanny X-Men,517,$2.99 ,Marvel,"70,000"
2009,Dark Avengers,12,$3.99 ,Marvel,"69,800"
2009,Justice League of America,30,$2.99 ,DC,"69,700"
2009,Batman,693,$2.99 ,DC,"69,200"
2009,Justice League of America,31,$2.99 ,DC,"69,100"
2009,Dark Wolverine,77,$2.99 ,Marvel,"68,900"
2009,Buffy the Vampire Slayer,22,$2.99 ,Dark Horse,"68,700"
2009,Blackest Night JSA,1,$2.99 ,DC,"68,700"
2009,Justice League of America,40,$3.99 ,DC,"68,700"
2009,Mighty Avengers,24,$2.99 ,Marvel,"68,600"
2009,Uncanny X-Men,518,$2.99 ,Marvel,"68,600"
2009,Astonishing X-Men,29,$2.99 ,Marvel,"68,500"
2009,Astonishing X-Men,31,$2.99 ,Marvel,"67,800"
2009,Siege Cabal,0,$3.99 ,Marvel,"67,700"
2009,Amazing Spider-Man,590,$2.99 ,Marvel,"67,600"
2009,Amazing Spider-Man,596,$2.99 ,Marvel,"67,500"
2009,Blackest Night Titans,2,$2.99 ,DC,"67,500"
2009,Uncanny X-Men,519,$2.99 ,Marvel,"67,000"
2009,Amazing Spider-Man,611,$2.99 ,Marvel,"66,500"
2009,Wolverine,74,$2.99 ,Marvel,"66,300"
2009,Justice Society of America,24,$2.99 ,DC,"66,200"
2009,Justice Society of America,25,$2.99 ,DC,"66,000"
2009,Amazing Spider-Man,597,$2.99 ,Marvel,"65,900"
2009,Batman,694,$2.99 ,DC,"65,900"
